title,type,summary,genre
Hercules,MOVIE,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!","Animation,Family,Fantasy,Adventure,Comedy,Romance"
Lilo & Stitch,MOVIE,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and 'ohana, the Hawaiian tradition of family.","Animation,Family"
Pierrot le Fou,MOVIE,"Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.","Drama,Thriller"
Blade Runner 2049,MOVIE,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.","Science Fiction,Drama"
Zorba the Greek,MOVIE,An uptight English writer traveling to Crete on a matter of business finds his life changed forever when he meets the gregarious Alexis Zorba.,Drama
The Vanishing,MOVIE,A man embarks on an increasingly obsessive search for his girlfriend after she disappears without a trace during a romantic summer getaway to France.,Thriller
A Boy Called Christmas,MOVIE,"An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…","Family,Adventure,Fantasy"
The Man Who Would Be King,MOVIE,"A robust adventure about two British adventurers who take over primitive Kafiristan as ""godlike"" rulers, meeting a tragic end through their desire for a native girl. Based on a short story by Rudyard Kipling.","Adventure,Drama"
Justice League: War,MOVIE,"The world is under attack by an alien armada led by the powerful Apokoliptian, Darkseid. A group of superheroes consisting of Superman, Batman, Wonder Woman, The Flash, Green Lantern, Cyborg, and Shazam must set aside their differences and gather together to defend Earth.","Animation,Action"
Cold Eyes,MOVIE,"HA Yoon-ju becomes the newest member to a unit within the Korean Police Forces Special Crime Department that specializes in surveillance activities on high profile criminals. She teams up with HWANG Sang-Jun, the veteran leader of the unit, and tries to track down James who is the cold-hearted leader of an armed criminal organization.","Crime,Action,Thriller"
Courageous,MOVIE,"Law enforcement officers Adam Mitchell, Nathan Hayes, and their partners stand up to the worst the streets have to offer with confidence and focus. Yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. They know that God desires to turn the hearts of fathers to their children, but their children are beginning to drift further and further away from them. When tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. Can a newfound urgency help these dads draw closer to God... and to their children?",Drama
Zodiac,MOVIE,A cartoonist teams up with an ace reporter and a law enforcement officer to track down an elusive serial killer.,"Crime,Drama,Mystery,Thriller"
Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.","Crime,Drama"
Fury,MOVIE,"In the last months of World War II, as the Allies make their final push in the European theatre, a battle-hardened U.S. Army sergeant named 'Wardaddy' commands a Sherman tank called 'Fury' and its five-man crew on a deadly mission behind enemy lines. Outnumbered and outgunned, Wardaddy and his men face overwhelming odds in their heroic attempts to strike at the heart of Nazi Germany.","War,Drama,Action"
One Piece Film: Z,MOVIE,"Zephyr, now known as Z, rides the seas with only one goal: Destroy all pirates and their dreams at becoming King of Pirates. When Luffy and his crew encounter him at sea, not only are they utterly defeated by the man with an arm made of Seastone, Nami, Robin, and Chopper are turned 10 years younger due to Z's minion Ain. Luffy is so determined to win against him that he does not even notice Z's master plan that could sacrifice thousands of lives.","Action,Adventure,Animation"
Kal Ho Naa Ho,MOVIE,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.","Comedy,Drama"
Dawn of the Dead,MOVIE,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",Horror
Turning Red,MOVIE,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.","Animation,Family,Comedy,Fantasy"
Minions: The Rise of Gru,MOVIE,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.","Family,Animation,Adventure,Comedy,Fantasy"
The Long Goodbye,MOVIE,Detective Philip Marlowe tries to help a friend who is accused of murdering his wife.,"Crime,Mystery,Thriller,Comedy"
A Few Good Men,MOVIE,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.",Drama
Who Framed Roger Rabbit,MOVIE,"'Toon star Roger is worried that his wife Jessica is playing pattycake with someone else, so the studio hires detective Eddie Valiant to snoop on her. But the stakes are quickly raised when Marvin Acme is found dead and Roger is the prime suspect.","Fantasy,Animation,Comedy,Crime"
Walk the Line,MOVIE,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins.","Drama,Music,Romance"
Breaking the Waves,MOVIE,"In a small and conservative Scottish village, a woman's paralytic husband convinces her to have extramarital intercourse so she can tell him about it and give him a reason for living.","Drama,Romance"
Shottas,MOVIE,"A raw urban drama about two friends raised on the dangerous streets of Kingston, Jamaica. Biggs and Wayne take on the ""Shotta"" way of life to survive. As young boys, they begin a life of crime, eventually moving to the US where they begin a ruthless climb from the bottom. They remain bound to each other by their shottas loyalty as they aggressively take control of the Jamaican underworld.","Action,Adventure,Crime,Drama"
Deadpool 2,MOVIE,Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life.,"Action,Comedy,Adventure"
The Crow,MOVIE,"Exactly one year after young rock guitarist Eric Draven and his fiancée are brutally killed by a ruthless gang of criminals, Draven—watched over by a hypnotic crow—returns from the grave to exact revenge.","Fantasy,Action,Thriller"
Spider-Man: Far From Home,MOVIE,"Peter Parker and his friends go on a summer trip to Europe. However, they will hardly be able to rest - Peter will have to agree to help Nick Fury uncover the mystery of creatures that cause natural disasters and destruction throughout the continent.","Action,Adventure,Science Fiction"
Human Capital,MOVIE,The destinies of two families are irrevocably tied together after a cyclist is hit off the road by a jeep in the night before Christmas Eve.,Drama
The Gospel According to St. Matthew,MOVIE,"This biblical drama focuses on the teachings of Jesus, including the parables that reflect their revolutionary nature. As Jesus travels along the coast of the Sea of Galilee, he gradually gathers more followers, leading him into direct conflict with the authorities.","History,Drama"
The Woman in the Window,MOVIE,A seductive woman gets an innocent professor mixed up in murder.,"Drama,Thriller,Mystery,Crime"
Iron Monkey,MOVIE,"Iron Monkey is a Hong Kong variation of Robin Hood. Corrupt officials of a Chinese village are robbed by a masked bandit known as ""Iron Monkey"", named after a benevolent deity. When all else fails, the Governor forces a traveling physician into finding the bandit. The arrival of an evil Shaolin monk, brings the physician and Iron Monkey together to battle the corrupt government.","Action,Crime,Drama"
Repulsion,MOVIE,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.","Drama,Thriller,Horror"
The Royal Tenenbaums,MOVIE,"Royal Tenenbaum and his wife Etheline had three children and then they separated. All three children are extraordinary --- all geniuses. Virtually all memory of the brilliance of the young Tenenbaums was subsequently erased by two decades of betrayal, failure, and disaster. Most of this was generally considered to be their father's fault. ""The Royal Tenenbaums"" is the story of the family's sudden, unexpected reunion one recent winter.","Comedy,Drama"
Black Book,MOVIE,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","Drama,Thriller,War"
Ordinary People,MOVIE,"Beth, Calvin, and their son Conrad are living in the aftermath of the death of the other son. Conrad is overcome by grief and misplaced guilt to the extent of a suicide attempt. He is in therapy. Beth had always preferred his brother and is having difficulty being supportive to Conrad. Calvin is trapped between the two trying to hold the family together.",Drama
Cold War,MOVIE,"A man and a woman meet in the ruins of post-war Poland. With vastly different backgrounds and temperaments, they are fatally mismatched and yet drawn to each other.","Drama,Romance,War,Music"
Aquarius,MOVIE,"Clara, a vibrant former music critic and widow with flowing tresses is the only remaining apartment owner in a beautiful older building targeted for demolition by ruthless luxury high-rise developers. Clara proves to be a force to be reckoned with as she thwarts the builders plans to kick her out of the apartment.",Drama
Phantom of the Paradise,MOVIE,"A disfigured composer sells his soul for the woman he loves so that she will perform his music. However, an evil record tycoon betrays him and steals his music to open his rock palace, The Paradise.","Comedy,Fantasy,Horror,Music,Thriller"
The Silence,MOVIE,"Traveling through an unnamed European country on the brink of war, sickly, intellectual Ester, her sister Anna and Anna's young son, Johan, check into a near-empty hotel. A basic inability to communicate among the three seems only to worsen during their stay. Anna provokes her sister by enjoying a dalliance with a local man, while the boy, left to himself, has a series of enigmatic encounters that heighten the growing air of isolation.","Drama,Romance"
The Sandlot,MOVIE,"During a summer of friendship and adventure, one boy becomes a part of the gang, nine boys become a team and their leader becomes a legend by confronting the terrifying mystery beyond the right field wall.","Family,Comedy"
The Mauritanian,MOVIE,"The true story of the Mauritanian Mohamedou Ould Slahi, who was held at the U.S military's Guantanamo Bay detention center without charges for over a decade and sought help from a defense attorney for his release.","Drama,Thriller"
Sonatine,MOVIE,A Japanese mobster attempts to even the score when he realizes he and his lackeys have been pawns in a lethal game.,"Action,Crime,Thriller"
Scarface,MOVIE,A murderous thug shoots his way to the top of the mobs while trying to protect his sister from the criminal life.,"Action,Crime,Drama,Thriller"
Paddington 2,MOVIE,"Paddington, now happily settled with the Browns, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy, but it is stolen.","Adventure,Comedy,Family"
Zelig,MOVIE,"Fictional documentary about the life of human chameleon Leonard Zelig, a man who becomes a celebrity in the 1920s due to his ability to look and act like whoever is around him. Clever editing places Zelig in real newsreel footage of Woodrow Wilson, Babe Ruth, and others.",Comedy
Police Story,MOVIE,"Officer Chan Ka Kui manages to put a major Hong Kong drug dealer behind the bars practically alone, after a shooting and an impressive chase inside a slum. Now, he must protect the boss' secretary, Selina, who will testify against the gangster in court.","Action,Crime,Thriller"
Maggie Simpson in Playdate with Destiny,MOVIE,"It seemed like just another day at the park for Maggie Simpson. But when Maggie faces playground peril, a heroic young baby whisks her from danger and steals her heart.","Animation,Comedy,Family,Romance"
Before Midnight,MOVIE,"It has been nine years since we last met Jesse and Celine, the French-American couple who once met on a train in Vienna. Now, live in Paris with twin daughters, but have spent a summer in Greece on the invitation of an author colleague of Jesse's. When the vacation is over and Jesse must send his teenage son off to the States, he begins to question his life decisions, and his relationship with Celine is at risk.","Romance,Drama"
Then Came You,MOVIE,An American hypochondriac who is working as a baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,"Comedy,Drama"
The 36th Chamber of Shaolin,MOVIE,"The anti-Ching patriots, under the guidance of Ho Kuang-han, have secretly set up their base in Canton, disguised as school masters. During a brutal Manchu attack, Lui manages to escape, and devotes himself to learning the martial arts in order to seek revenge.","Action,Adventure"
Lucky Number Slevin,MOVIE,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma.","Drama,Thriller,Crime,Mystery"
Swept Away,MOVIE,A spoiled rich woman and a brutish Communist deckhand become stranded alone on a desert island after venturing away from their cruise.,"Romance,Drama,Comedy"
Imitation of Life,MOVIE,"Lora Meredith, a white widow who dreams of being on Broadway, has a chance encounter with Annie Johnson, a black single mother. Annie becomes the caretaker of Lora's daughter, Susie, while Lora pursues her stage career. Both women deal with the difficulties of motherhood: Lora's thirst for fame threatens her relationship with Susie, while Annie's light-skinned daughter, Sarah Jane, struggles with her African-American identity.","Drama,Romance"
Volver,MOVIE,"Raimunda lives and works in Madrid with her husband Paco and their daughter Paula. Raimunda's sister Sole lives nearby. The two sisters miss their mother Irene who died several years ago in a house fire along with their father. When a former neighbor from their hometown reports that she has seen the ghost of Irene, the daughters do not believe her. After a murder and a family tragedy, however, Irene's spirit materializes around her daughters to comfort them.","Comedy,Drama,Romance"
A Night at the Opera,MOVIE,The Marx Brothers take on high society and the opera world to bring two lovers together. A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,"Comedy,Music"
Delusions of Grandeur,MOVIE,"Don Sallust is minister of the King of Spain. It is a being disingenuous, hypocritical and greedy that collects the taxes himself, he turns in part to his advantage. He is hated by the people he oppresse.Accusé by Queen, a beautiful princess Bavarian, of having an illegitimate child to one of her maids of honor, he was stripped of his duties and ordered to retire to a monastery. Decided to revenge, it comes in contact with his nephew seducing Caesar ...","Comedy,History"
A Grand Day Out,MOVIE,"Wallace and Gromit have run out of cheese, and this provides an excellent excuse for the duo to take their holiday to the moon, where, as everyone knows, there is ample cheese.","Animation,Comedy,Family"
The Fallout,MOVIE,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",Drama
The Book Thief,MOVIE,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refugee is being sheltered by her adoptive parents.",Drama
To Have and Have Not,MOVIE,A Martinique charter boat skipper gets mixed up with the underground French resistance operatives during WWII.,"Adventure,Romance,War"
After Hours,MOVIE,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho whom he met that evening at a coffee shop.,"Comedy,Thriller,Drama"
Hamlet,MOVIE,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother now marrying the murderer... his uncle. Meanwhile, war is brewing.",Drama
Why Don't You Play in Hell?,MOVIE,"In Japan, gonzo filmmakers hatch a three-pronged plan to save an actress's career, end a yakuza war and make a hit movie.","Drama,Action,Comedy"
Patients,MOVIE,"After a serious sport accident in a swimming pool, Ben, now an incomplete quadriplegic, arrives in a rehabilitation center. He meets with other handicapped persons (tetraplegics, paraplegics, traumatized crania), all victims of accidents, as well as a handicapped since his early childhood. They go through impotence, despair and resignation, with their daily struggle to learn how to move a finger or to hold a fork. Some of them slowly find a little mobility while others receive the verdict of the handicap for life. Despite everything, hope and friendship help them endure their difficulties.","Drama,Comedy"
The Adventures of Pinocchio,MOVIE,"Mastro Geppetto is a poor carpenter with no wife and no children. The man is very lonely, and when trading a piece of wood with his colleague Mastro Ciliegia, he decides to build himself a puppet to make him company.","Family,Drama"
Willy Wonka & the Chocolate Factory,MOVIE,"When eccentric candy man Willy Wonka promises a lifetime supply of sweets and a tour of his chocolate factory to five lucky kids, penniless Charlie Bucket seeks the golden ticket that will make him a winner.","Family,Fantasy,Comedy"
You Can't Take It with You,MOVIE,"Alice, the only relatively normal member of the eccentric Sycamore family, falls in love with Tony Kirby, but his wealthy banker father and snobbish mother strongly disapprove of the match. When the Kirbys are invited to dinner to become better acquainted with their future in-laws, things don't turn out the way Alice had hoped.","Comedy,Drama,Romance"
Corpse Bride,MOVIE,"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.","Romance,Fantasy,Animation"
Berserk: The Golden Age Arc II - The Battle for Doldrey,MOVIE,"The Band of the Hawk participates in the Midland war campaign. On the bloody battlefield, they conquer decisive victories that lead them to Doldrey, an old fortress that will decide the outcome of the war.","Action,Adventure,Drama,Fantasy,Animation"
mid90s,MOVIE,"Stevie is a sweet 13-year-old about to explode. His mom is loving and attentive, but a little too forthcoming about her romantic life. His big brother is a taciturn and violent bully. So Stevie searches his working-class Los Angeles suburb for somewhere to belong. He finds it at the Motor Avenue skate shop.","Drama,Comedy"
Rogue One: A Star Wars Story,MOVIE,A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,"Action,Adventure,Science Fiction"
Prison Break: The Final Break,MOVIE,"The movie covers the events which occurred in between the downfall of The Company and the finale of the TV series (SEASON 4). It details the arrest and incarceration of Sara Tancredi, the final escape plan which Michael devises for Sara, and reveals the ultimate fate of Gretchen Morgan.","Action,Drama,Thriller"
Johnny Got His Gun,MOVIE,"Joe, a young American soldier, is hit by a mortar shell on the last day of World War I. He lies in a hospital bed with a fate worse than death as a quadruple amputee who has lost his arms, legs, eyes, ears, mouth and nose. Unbeknown to his doctors, he remains conscious and able to think, thereby reliving his life through strange dreams and memories.","War,Drama"
This Is Spinal Tap,MOVIE,"""This Is Spinal Tap"" shines a light on the self-contained universe of a metal band struggling to get back on the charts, including everything from its complicated history of ups and downs, gold albums, name changes and undersold concert dates, along with the full host of requisite groupies, promoters, hangers-on and historians, sessions, release events and those special behind-the-scenes moments that keep it all real.","Music,Comedy"
Fearless,MOVIE,"Huo Yuan Jia became the most famous martial arts fighter in all of China at the turn of the 20th Century. Huo faced personal tragedy but ultimately fought his way out of darkness, defining the true spirit of martial arts and also inspiring his nation. The son of a great fighter who didn't wish for his child to follow in his footsteps, Huo resolves to teach himself how to fight - and win.","Drama,Action"
South Park: Post COVID: The Return of COVID,MOVIE,"If Stan, Kyle and Cartman could just work together, they could go back in time to make sure Covid never happened. But traveling back to the past seems to be the easy answer until they meet Victor Chaos.","Animation,Comedy,TV Movie"
Last Night in Soho,MOVIE,"A young girl, passionate about fashion design, is mysteriously able to enter the 1960s where she encounters her idol, a dazzling wannabe singer. But 1960s London is not what it seems, and time seems to be falling apart with shady consequences.","Thriller,Horror,Mystery"
Johnny Guitar,MOVIE,"On the outskirts of town, the hard-nosed Vienna owns a saloon frequented by the undesirables of the region, including Dancin' Kid and his gang. Another patron of Vienna's establishment is Johnny Guitar, a former gunslinger and her lover. When a heist is pulled in town that results in a man's death, Emma Small, Vienna's rival, rallies the townsfolk to take revenge on Vienna's saloon – even without proof of her wrongdoing.","Drama,Western,Romance"
Open Your Eyes,MOVIE,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.","Drama,Thriller,Science Fiction"
Peeping Tom,MOVIE,"Loner Mark Lewis works at a film studio during the day and, at night, takes racy photographs of women. Also he's making a documentary on fear, which involves recording the reactions of victims as he murders them. He befriends Helen, the daughter of the family living in the apartment below his, and he tells her vaguely about the movie he is making.","Horror,Thriller,Drama"
Glory,MOVIE,"Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.","Drama,History,War"
The Great Silence,MOVIE,"A mute gunslinger fights in the defense of a group of outlaws and a vengeful young widow, against a group of ruthless bounty hunters.","Western,Action"
Sympathy for Mr. Vengeance,MOVIE,"This is the story of Ryu, a deaf man, and his sister, who requires a kidney transplant. In order to afford the transplant, Ryu and his girlfriend develop a plan to kidnap Park's daughter. Things go horribly wrong, and the situation spirals rapidly into a cycle of violence and revenge.","Action,Drama,Thriller"
Irma la Douce,MOVIE,A Parisian policeman gives up everything for the love of a free-living sex worker.,"Comedy,Romance"
Almost Famous,MOVIE,"In 1973, 15-year-old William Miller's unabashed love of music and aspiration to become a rock journalist lands him an assignment from Rolling Stone magazine to interview and tour with the up-and-coming band, Stillwater.","Drama,Music"
Predator,MOVIE,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,"Science Fiction,Action,Adventure,Thriller"
18 Presents,MOVIE,"Elisa is only forty when an incurable disease takes her from her husband and their daughter. Before her heart stops, Elisa finds a way to stay close to her: a gift for every birthday up to her adult age, 18 gifts to try to accompany her child's growth year after year.","Drama,Fantasy"
Carol,MOVIE,"In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.","Romance,Drama"
Black Sunday,MOVIE,A vengeful witch and her fiendish servant return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant. Only the girl's brother and a handsome doctor stand in her way.,Horror
Three Colors: White,MOVIE,"Polish immigrant Karol Karol finds himself out of a marriage, a job and a country when his French wife, Dominique, divorces him after six months due to his impotence. Forced to leave France after losing the business they jointly owned, Karol enlists fellow Polish expatriate Mikolah to smuggle him back to their homeland.","Comedy,Drama,Mystery"
The Last Letter From Your Lover,MOVIE,A young journalist in London becomes obsessed with a series of letters she discovers that recounts an intense star-crossed love affair from the 1960s.,"Drama,Romance"
The Stronghold,MOVIE,"A police brigade working in the dangerous northern neighborhoods of Marseille, where the level of crime is higher than anywhere else in France.","Thriller,Action,Crime"
That's Life,MOVIE,"Fugitive convict Aldo seizes a car, taking policeman Giacomo and civilian Giovanni hostages. While chased by the police all over Italy, they will eventually become friends.",Comedy
The Insider,MOVIE,"Tells the true story of a 60 Minutes television series exposé of the tobacco industry, as seen through the eyes of a real tobacco executive, Jeffrey Wigand.","Drama,Thriller"
Through My Window,MOVIE,"Raquel's longtime crush on her next-door neighbor turns into something more when he starts developing feelings for her, despite his family's objections.","Romance,Drama"
Mirage,MOVIE,"During a mysterious thunderstorm, Vera, a young mother, manages to save a life in danger, but her good deed causes a disturbing chain of unexpected consequences.","Thriller,Drama,Mystery,Fantasy"
Little Tickles,MOVIE,"Odette is a 8-yr-old girl who loves to dance and draw. Once she has become an adult, Odette realizes she was abused, and immerses herself body and soul in her career as a dancer while trying to deal with her past.",Drama
The Flowers of War,MOVIE,"A Westerner finds refuge with a group of women in a church during Japan's rape of Nanking in 1937. Posing as a priest, he attempts to lead the women to safety.","Drama,History,War"
Peaceful Warrior,MOVIE,A chance encounter with a stranger changes the life of a college gymnast.,Drama
The Guernsey Literary & Potato Peel Pie Society,MOVIE,"Free-spirited writer Juliet Ashton forms a life-changing bond with the delightful and eccentric Guernsey Literary and Potato Peel Pie Society, when she decides to write about the book club they formed during the occupation of Guernsey in WWII.","Romance,Drama,History"
One Piece: Strong World,MOVIE,"20 years after his escape from Impel Down, the legendary pirate Shiki, the Golden Lion, reappears causing massive upheaval to the Marines. During his long seclusion, he was able to come up with a scheme to bring the World Government to his knees. On his way to execute the plan, Shiki crosses paths with the Straw Hat Pirates and becomes so impressed with Nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. Luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for Shiki and Nami.","Animation,Fantasy,Adventure"
Hour of the Wolf,MOVIE,"While vacationing on a remote German island with his pregnant wife, an artist has an emotional breakdown while confronting his repressed desires.","Drama,Horror"
Marty,MOVIE,"Marty, a butcher who lives in the Bronx with his mother is unmarried at 34. Good-natured but socially awkward he faces constant badgering from family and friends to get married but has reluctantly resigned himself to bachelorhood. Marty meets Clara, an unattractive school teacher, realising their emotional connection, he promises to call but family and friends try to convince him not to.","Drama,Romance"
Love & Basketball,MOVIE,"Quincy McCall and Monica Wright grew up in the same neighborhood and have known each other since childhood. As they grow into adulthood, they fall in love, but they also share another all-consuming passion: basketball. As Quincy and Monica struggle to make their relationship work, they follow separate career paths though high school and college basketball and, they hope, into stardom in big-league professional ball.","Action,Comedy,Drama,Romance"
The Death of Superman,MOVIE,"When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.","Science Fiction,Animation,Action,Drama"
Kung Fury,MOVIE,"During an unfortunate series of events, a friend of Kung Fury is assassinated by the most dangerous kung fu master criminal of all time, Adolf Hitler, a.k.a Kung Führer.  Kung Fury decides to travel back in time to Nazi Germany in order to kill Hitler and end the Nazi empire once and for all.","Action,Comedy,Science Fiction,Fantasy"
Lifted,MOVIE,"When an overconfident teen alien gets behind the controls of a spaceship, he must attempt to abduct a slumbering farmer under the watchful eye of a critical instructor. But abducting humans requires precision and a gentle touch, and within a few missteps it's painfully clear why more humans don't go missing every year.","Family,Animation,Science Fiction"
A Perfect World,MOVIE,"A kidnapped boy strikes up a friendship with his captor: an escaped convict on the run from the law, headed by an honorable U.S. Marshal.","Crime,Drama,Thriller"
Uncle Frank,MOVIE,"In 1973, when Frank Bledsoe and his 18-year-old niece Beth take a road trip from Manhattan to Creekville, South Carolina for the family patriarch's funeral, they're unexpectedly joined by Frank's lover Walid.",Drama
In Safe Hands,MOVIE,"Théo is given up for adoption by his biological mother on the very day he is born. After this anonymous birth, the mother has two months to change her mind… Or not. The child welfare services and adoption service spring into action… The former have to take care of the baby and support it during this limbo-like time, this period of uncertainty, while the latter must find a woman to become his adoptive mother. She is called Alice, and she has spent the last ten years fighting to have a child.",Drama
"Paul, Apostle of Christ",MOVIE,"Risking his life, Luke ventures to Rome to visit Paul -- the apostle who's bound in chains and held captive in Nero's darkest and bleakest prison cell. Haunted by the shadows of his past misdeeds, Paul wonders if he's been forgotten as he awaits his grisly execution. Before Paul's death, Luke resolves to write another book that details the birth of what will come to be known as the church.","Drama,History"
Neon Genesis Evangelion: Death and Rebirth,MOVIE,"Originally a collection of clips from the Neon Genesis Evangelion TV series, Death was created as a precursor to the re-worked ending of the series. Rebirth was intended as that re-worked ending, but after production overruns Rebirth became only the first half of the first part of The End of Evangelion, with some minor differences.","Drama,Science Fiction,Animation"
The Taking of Pelham One Two Three,MOVIE,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?","Crime,Action,Thriller"
Sense and Sensibility,MOVIE,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","Drama,Romance"
Miss Sloane,MOVIE,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,"Thriller,Drama"
The Best of Me,MOVIE,A pair of former high school sweethearts reunite after many years when they return to visit their small hometown.,"Drama,Romance"
The Magdalene Sisters,MOVIE,"Four women are given into the custody of the Magdalene sisterhood asylum to correct their sinful behavior: Crispina and Rose have given birth to a premarital child, Margaret got raped by her cousin and the orphan Bernadette had been repeatedly caught flirting with the boys. All have to work in a laundry under the strict supervision of the nuns, who break their wills through sadistic punishment.","Drama,History"
La Vie en Rose,MOVIE,"From the mean streets of the Belleville district of Paris to the dazzling limelight of New York's most famous concert halls, Edith Piaf's life was a constant battle to sing and survive, to live and love. Raised in her grandmother's brothel, Piaf was discovered in 1935 by nightclub owner Louis Leplee, who persuaded her to sing despite her extreme nervousness. Piaf became one of France's immortal icons, her voice one of the indelible signatures of the 20th century.","Music,Drama"
Star Trek II: The Wrath of Khan,MOVIE,"It is the 23rd century. The Federation Starship U.S.S. Enterprise is on routine training maneuvers and Admiral James T. Kirk seems resigned to the fact that this inspection may well be the last space mission of his career. But Khan is back. Aided by his exiled band of genetic supermen, Khan - brilliant renegade of 20th century Earth - has raided Space Station Regula One, stolen a top secret device called Project Genesis, wrested control of another Federation Starship and sets out in pursuit of the Enterprise, determined to let nothing stand in the way of his mission: kill Admiral Kirk... even if it means universal Armageddon.","Action,Adventure,Science Fiction,Thriller"
Chemical Hearts,MOVIE,"When a hopelessly romantic high school senior falls for a mysterious new classmate, it sets them both on an unexpected journey that teaches them about love, loss, and most importantly themselves.","Drama,Romance"
Spellbound,MOVIE,"When Dr. Anthony Edwardes arrives at a Vermont mental hospital to replace the outgoing hospital director, Dr. Constance Peterson, a psychoanalyst, discovers Edwardes is actually an impostor. The man confesses that the real Dr. Edwardes is dead and fears he may have killed him, but cannot recall anything. Dr. Peterson, however is convinced his impostor is innocent of the man's murder, and joins him on a quest to unravel his amnesia through psychoanalysis.","Mystery,Thriller,Romance"
Letters from Iwo Jima,MOVIE,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Action,Drama,War"
